Object ID,Name,Centroid X µm,Centroid Y µm,Cell: CD15 (Opal 620) mean,Cell: H3Cit (Opal 690) mean,Cell: DAPI (DAPI) mean,Cell: CK (Alexa 488) mean,Cell: CD8 (Cy3) mean,Cell: MPO (Cy5) mean
d8ce8ba1-39ca-4e58-9a52-bd65114f5e5b,PathCellObject,1003,174.05,0.2838,0.1193,0.3862,0.0008,0.2616,0.3223
2d88cee9-4e78-49ec-bc50-e7fe28ce7131,PathCellObject,807.89,177.28,0.0169,0.0097,0.4652,0.0018,0.0823,0.029
3e540e52-0a9d-4136-87b1-e627bab04883,PathCellObject,890.88,175.78,0.0135,0.0057,0.0983,0.015,0.0949,0.0146
dc2e9746-b091-4196-8544-4379f7996c6d,PathCellObject,912.46,176.91,0.0469,0.0167,0.714,0,0.2079,0.0395
036c4ca3-7270-4ece-878c-1da3d9277235,PathCellObject,714.9,175.87,0.0213,0.0087,0.4828,0.0168,0.149,0.0186
dbb50ecb-7eee-4e03-8803-346618a753d5,PathCellObject,826.72,176.02,0.0157,0.0058,0.2034,0.007,0.071,0.0213
087b9e5b-d53f-4235-8096-dbd6cc663956,PathCellObject,854.36,175.84,0.0156,0.0065,0.1505,0.0034,0.1056,0.0126
3f4bda89-affa-4a19-861d-e45da4733615,PathCellObject,795.02,179.1,0.0207,0.0099,0.4026,0.0079,0.1401,0.0227
a36dec8f-e9b6-434b-82ed-b6c484f81810,PathCellObject,906.34,177.56,0.1577,0.06,0.3926,0,0.216,0.2137
d17ef6d5-18d9-41ff-bc16-0f3c6d3c528b,PathCellObject,726.29,179.39,0.0208,0.0084,0.3565,0.0048,0.1472,0.0244
c5b0e279-def1-4cdb-b390-64663d6a08e1,PathCellObject,978.81,180.11,0.0808,0.0535,0.1442,0.0083,0.1974,0.1581
0deeaf13-7ae0-4339-a4fa-bf60179c3696,PathCellObject,816.91,178.37,0.0148,0.0058,0.3459,0.0003,0.0681,0.0207
4caaffcb-5443-45c0-a0c6-29f4544aaa2a,PathCellObject,988.75,178.75,0.0875,0.0618,0.3426,0.0021,0.2204,0.2139
5bf2e194-8aa6-45d4-9aff-09607dd9ed58,PathCellObject,743.83,178.59,0.0217,0.0101,0.1348,0.0183,0.1443,0.0301
3b222c5e-48bd-4e3b-95c3-b1c1c926bde9,PathCellObject,772.34,180.55,0.0226,0.0096,0.1679,0.0238,0.1622,0.0236
8230fc8f-4cbb-4760-8770-b35f4deabc4d,PathCellObject,779.16,180.69,0.0185,0.0067,0.1522,0.0249,0.1427,0.0174
8f04e466-4d67-4dfd-927c-0bcaf21af2ec,PathCellObject,942.87,179.88,0.0513,0.0225,0.325,0.0001,0.1239,0.0821
67fbb884-dbeb-491e-981b-f8c80f5c5b3a,PathCellObject,997.26,183.06,0.0777,0.0278,0.497,0.0001,0.1862,0.1136
